,LPR
24225,0.0018431358293904108
24226,4.768036560873607e-05
24227,0.001754438902490615
24239,0.18975257497161901
24240,0.0008675065329758198
24247,7.011665779526089e-06
24249,3.0937149908735693e-06
24252,0.0004276348317208266
24253,4.76745016163451e-06
24256,1.2586902770710981e-05
24265,0.0017989083311005653
24266,0.0005884338139583147
24274,0.018265911795680843
24279,0.0014540242340956302
24283,0.0009849670208294983
24285,3.946126632913417e-09
24286,5.401494467873972e-09
24291,0.006180063020454568
24293,0.0009305061585774685
24294,4.649481567784997e-09
24302,2.6935171192557107e-11
24305,1.3144362534611665e-15
24307,0.0004462175774397911
24311,0.001364507889339473
24317,1.9680661616819685e-05
24323,0.1798617137325571
58403,0.0005532322721118997
58405,0.35285638721297197
58406,0.0007619510617059419
58407,0.0013666896773290539
58410,0.001727642092301014
58411,0.00013169023432260194
58414,5.573977845553935e-05
58416,1.5104744037512282e-05
58424,1.807778533413615e-05
58433,0.0020401593207536183
58434,1.087961232962829e-07
67673,0.00013207213191975843
67895,3.2327907454580305e-10
68008,0.0008351557647217185
68216,3.614181480279722e-13
68218,7.927207513754081e-14
68219,6.40180648968689e-13
68220,1.4846903355697456e-12
68221,6.231645170133369e-12
68294,3.8920494400937115e-17
68475,0.005069316339722314
68529,0.2903584766059317
68693,1.147743531390801e-07
68695,1.7035980432323937e-06
68872,2.5412967488658662e-05
68917,6.05457645714992e-08
68925,8.068336480819954e-05
68926,0.0005363906234087743
69049,0.04214403088053192
69065,0.00017958726675431895
69282,0.014849335045575352
69288,3.0490212642975554e-10
69289,1.0237143846614418e-09
69480,1.2094849081815438e-06
69508,1.3922834037388781e-12
69576,4.5953112842974406e-08
69635,1.929005693536617e-10
69636,6.187321447378225e-11
69638,1.4492944087813048e-11
69669,1.7152140333184096e-15
69970,0.04103859066932839
69990,3.875758778206667e-05
70119,0.03861375855789139
70120,0.04039935472145611
70186,0.03653999443670035
70191,5.927095755887432e-08
70263,6.875405772465343e-11
70517,2.1231934488728878e-11
70519,1.884238446239791e-10
70520,4.369121736662159e-11
70548,3.089424534180338e-12
70881,0.004273970674739241
70961,1.203467101417478e-07
70974,2.197649303250031e-08
70975,3.855525093421107e-09
71044,0.02493930186544777
71062,1.3099081217551216e-05
71063,0.0003912380895150351
71109,0.01678701596734098
71110,0.011073340758241798
71117,4.9301877685555305e-08
71156,2.1466250729531196e-07
71199,8.131600335987891e-07
71495,0.0002808188655020343
71935,0.0004894399055599177
71998,1.749507370844919e-10
72082,8.840650067824271e-05
72094,1.5334887721624719e-06
72095,1.2170832831685066e-06
72269,0.0005482989250924407
72301,6.467450092737506e-08
72304,4.776031308208212e-07
72421,4.272941161122775e-15
72422,1.4341556814022885e-13
72436,8.010882327459269e-08
72437,7.825788550185694e-07
72607,0.00042850149621831787
72610,0.0029043092769728725
72713,0.0005490587122003719
72756,4.423740676147652e-05
72983,9.385447688424642e-08
73153,2.786605302624827e-07
73262,4.5070316716164295e-15
73280,6.07072643635066e-06
73281,0.0006815339883955202
73372,4.658612320381992e-08
73440,4.597618674149834e-07
73481,0.00016412701889835217
73715,0.00825830929551301
73737,4.25341265601825e-11
73761,2.2465171073563555e-05
73762,0.009009396706066554
73906,1.2255982819745273e-08
73940,2.4582949682628936e-09
73942,2.7347493994744637e-07
74131,1.7970228970801907e-10
74280,7.757406090011593e-12
84404,0.00010511810546655478
84409,0.0010063752011551532
84411,0.013511841559618015
91103,4.373703589763156e-09
91173,4.235703252892742e-06
91808,1.30801756724198e-13
91996,2.923597730767066e-11
91997,1.332072750438855e-09
