,LPR
23818,4.1486914552499587e-07
23820,3.5715134004042596e-05
23823,2.6855040333540045e-05
23836,0.21109317918836643
23837,0.037996212277680616
23846,0.00021884604093308597
23847,0.011395617290139416
23848,0.0075943353233961335
23851,0.03006788953420438
23864,0.0014250008353900341
23865,0.0008985320040580947
23866,3.795965865337992e-05
23867,4.936387491139783e-07
23868,1.6062662001869188e-06
23869,3.960720345582696e-07
23870,8.573421031068065e-07
23876,0.11696458358044488
23881,0.007754819152118232
23883,1.6239895751213002e-07
23886,3.6325133027311235e-05
23888,0.018807997980739077
23889,0.03245226657344447
23890,2.0905836563054565e-05
23895,0.0006221597696363822
23898,1.2961285304396477e-06
23908,0.007479668011419502
23909,0.0045427985199030865
23910,0.00023895597841755575
23913,2.3161877735002812e-11
23915,6.361587092337395e-09
23919,0.03983010457184134
23926,1.1552603661489914e-05
23928,0.0037372048961373636
23929,0.030995466287851204
23930,0.0030298195495718065
23934,0.3981483076318026
23936,0.03191261991459802
23937,0.008311471916006492
23939,0.06524697655662835
23942,0.00015358280667009707
23944,3.590196059904741e-06
23948,0.0031960831404685215
23956,0.00030280326733730017
23961,1.0561592136646355e-12
23962,9.079459897094234e-05
23963,3.93245920626038e-06
23966,1.6201891769311536e-06
23967,5.3381150593265284e-05
23972,0.00036261142017339677
23977,0.0035167675876678316
23978,5.084232328523699e-09
23979,6.330797349299214e-07
23980,6.2360690571426405e-06
23981,0.009243733649257365
23983,0.0002799958444114575
23984,0.0022684417709206567
23985,0.009858412186250581
23987,0.0005779295025440137
23998,4.273956589816665e-06
24003,0.0010200674323862897
24005,0.001757172896131827
24010,0.07466194587134069
24011,0.01930417129814666
24012,4.2431067398334825e-05
24016,7.942946645676318e-05
24024,5.502431449890725e-07
24030,0.00021335158983725033
24033,0.00014688133413194996
24036,2.868509457988284e-06
24037,1.525406761726029e-06
24042,3.8788138878805485e-05
24043,8.996996227103856e-08
24045,0.03009471560587901
24047,0.00023314413722433735
24049,0.003659384571471648
24059,2.4454244266058162e-05
24063,0.0005232841738557109
24066,2.4764763798587494e-06
24080,1.2978648588152243e-05
24091,4.42000358700709e-05
24093,0.005362808006489654
24110,0.0021870447791269665
24120,6.023840334384272e-06
24121,0.0011964371269644776
24125,0.009453618762602884
24130,1.9858757978756328e-05
24135,6.839072109000329e-05
24137,0.024531557444454326
24165,0.0006595217806806285
24166,0.0004328388727201243
24169,1.5673577978740214e-08
24172,0.0008115684542472286
24195,2.986667320046539e-08
24197,0.01883356877991704
24203,0.06181389696261494
24216,1.8439011276162472e-07
24225,0.001519406706324872
24226,4.7579405463122976e-05
24227,0.0018042193026715696
24239,0.16699060322798057
24240,0.0010129585125525761
24247,1.7647717328227764e-05
24249,4.3245566092695095e-06
24252,0.0007115288691193285
24253,7.463808877907098e-06
24256,2.0036679557115216e-05
24265,0.0014422205064156437
24266,0.0005823896798057532
24274,0.014242069928841113
24279,0.0016528887845410638
24283,0.0033374396848000493
24285,1.467968415340888e-08
24286,1.9317405123904857e-08
24291,0.004844006499936164
24293,0.0007734516464729233
24294,1.4485984896649063e-08
24302,8.393447310092624e-11
24305,6.361308385995279e-15
24307,0.00039188861895416826
24311,0.0016020871569863
24317,0.00015496106507545266
24323,0.16223555321072813
58403,0.0004934670046397051
58405,0.2948617004080513
58406,0.005279478236760875
58407,0.006301250461457829
58410,0.0018221135130994674
58411,0.0001411703965394389
58414,4.912350187702825e-05
58416,1.3350417354794365e-05
58424,2.9233350554616706e-05
58433,0.0022718883265624283
58434,1.971431377489288e-07
67673,0.0002475431298604508
67895,1.1648247364038827e-09
68008,0.0007443794186076943
68216,1.1839902550097897e-12
68218,3.1709222756366525e-13
68219,2.159367598773615e-12
68220,5.083517733408572e-12
68221,1.9000504431606344e-11
68294,1.0866183590646196e-15
68475,0.005353451383357646
68529,0.27400373353515955
68693,2.450943415040012e-07
68695,3.2577241625420536e-06
68872,2.702691563134187e-05
68917,1.606060107134893e-07
68925,9.09244175823431e-05
68926,0.0006233371752139771
69049,0.03905055416065077
69065,0.00015264060550830458
69282,0.010897367058166742
69288,1.9015984871651853e-09
69289,1.1521771505085059e-08
69480,2.002813612179256e-06
69508,5.429781091016883e-12
69576,9.575688381431589e-08
69635,1.8398811251185813e-09
69636,4.581477281898274e-10
69638,1.073310774679526e-10
69669,1.1700153046568702e-14
69970,0.035863928565248
69990,9.275553515631617e-05
70119,0.03369154035465078
70120,0.03601946319955547
70186,0.029622436454400505
70191,1.931223180177792e-07
70263,4.1733056745113336e-10
70517,6.394405618270943e-11
70519,5.663700746260807e-10
70520,1.3081516432922238e-10
70548,8.825292161289194e-11
70881,0.0033335774777618747
70961,2.4818712969867117e-07
70974,4.573352080064609e-08
70975,8.023424701867736e-09
71044,0.02087259994755972
71062,1.5215978596333414e-05
71063,0.00039233414664809253
71109,0.014081992069538397
71110,0.00921953938214561
71117,8.267699909764374e-08
71156,3.406081594253063e-06
71199,1.1736023020280528e-06
71495,0.0002879328297735262
71935,0.000554038485050579
71998,1.190204925866249e-09
72082,0.00011856958966939432
72094,6.48470311261795e-06
72095,5.307248256683558e-06
72269,0.0005680929130504594
72301,1.509155205156045e-07
72304,1.0965021446677332e-06
72421,2.1476583295704514e-14
72422,8.625596751850075e-13
72436,2.738876880228215e-07
72437,2.9130445560607667e-06
72607,0.0003720102212232492
72610,0.002255559232555263
72713,0.00042619513465735507
72756,3.483383770942538e-05
72983,1.1353138460514907e-07
73153,5.739006507755426e-07
73262,5.063838344725825e-14
