parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom
well_23936__stream_apportionment115,none,factor,0.7501,0.6501,0.8501,apportionment,1.0,0.0,1
well_23937__stream_apportionment116,none,factor,0.5287,0.42869999999999997,0.6286999999999999,apportionment,1.0,0.0,1
well_23939__stream_apportionment117,none,factor,0.8864,0.7864,0.9863999999999999,apportionment,1.0,0.0,1
well_23942__stream_apportionment118,none,relative,0.0444,0.0,0.1444,apportionment,1.0,0.0,1
well_23944__stream_apportionment119,none,relative,0.0958,0.0,0.1958,apportionment,1.0,0.0,1
well_23948__stream_apportionment120,none,factor,0.341,0.24100000000000002,0.44100000000000006,apportionment,1.0,0.0,1
well_23956__stream_apportionment121,none,factor,0.2138,0.11379999999999998,0.31379999999999997,apportionment,1.0,0.0,1
well_23961__stream_apportionment122,none,relative,0.0028,0.0,0.1028,apportionment,1.0,0.0,1
well_23962__stream_apportionment123,none,factor,0.1476,0.0476,0.24760000000000001,apportionment,1.0,0.0,1
well_23963__stream_apportionment124,none,relative,0.0488,0.0,0.14880000000000002,apportionment,1.0,0.0,1
well_23966__stream_apportionment125,none,relative,0.0381,0.0,0.1381,apportionment,1.0,0.0,1
well_23967__stream_apportionment126,none,factor,0.3685,0.26849999999999996,0.4685,apportionment,1.0,0.0,1
well_23972__stream_apportionment127,none,relative,0.0426,0.0,0.1426,apportionment,1.0,0.0,1
well_23977__stream_apportionment128,none,factor,0.5259,0.42590000000000006,0.6259,apportionment,1.0,0.0,1
well_23978__stream_apportionment129,none,relative,0.0295,0.0,0.1295,apportionment,1.0,0.0,1
well_23979__stream_apportionment130,none,relative,0.0363,0.0,0.1363,apportionment,1.0,0.0,1
well_23980__stream_apportionment131,none,relative,0.0556,0.0,0.15560000000000002,apportionment,1.0,0.0,1
well_23981__stream_apportionment132,none,factor,0.7511,0.6511,0.8511,apportionment,1.0,0.0,1
well_23983__stream_apportionment133,none,factor,0.1076,0.007599999999999996,0.2076,apportionment,1.0,0.0,1
well_23984__stream_apportionment134,none,factor,0.2378,0.1378,0.3378,apportionment,1.0,0.0,1
well_23985__stream_apportionment135,none,factor,0.5827,0.4827,0.6827,apportionment,1.0,0.0,1
well_23987__stream_apportionment136,none,factor,0.1299,0.029899999999999982,0.2299,apportionment,1.0,0.0,1
well_23998__stream_apportionment137,none,relative,0.0111,0.0,0.1111,apportionment,1.0,0.0,1
well_24003__stream_apportionment138,none,factor,0.1987,0.09869999999999998,0.29869999999999997,apportionment,1.0,0.0,1
well_24005__stream_apportionment139,none,factor,0.3195,0.2195,0.4195,apportionment,1.0,0.0,1
well_24010__stream_apportionment140,none,factor,0.8453,0.7453000000000001,0.9453,apportionment,1.0,0.0,1
well_24011__stream_apportionment141,none,factor,0.8339,0.7339,0.9339,apportionment,1.0,0.0,1
well_24012__stream_apportionment142,none,relative,0.063,0.0,0.163,apportionment,1.0,0.0,1
well_24016__stream_apportionment143,none,relative,0.0047,0.0,0.1047,apportionment,1.0,0.0,1
well_24024__stream_apportionment144,none,relative,0.0316,0.0,0.1316,apportionment,1.0,0.0,1
well_24030__stream_apportionment145,none,factor,0.1427,0.04269999999999999,0.2427,apportionment,1.0,0.0,1
well_24033__stream_apportionment146,none,relative,0.0652,0.0,0.1652,apportionment,1.0,0.0,1
well_24036__stream_apportionment147,none,relative,0.0389,0.0,0.1389,apportionment,1.0,0.0,1
well_24037__stream_apportionment148,none,relative,0.0936,0.0,0.1936,apportionment,1.0,0.0,1
well_24042__stream_apportionment149,none,factor,0.1086,0.008599999999999997,0.2086,apportionment,1.0,0.0,1
well_24043__stream_apportionment150,none,relative,0.0133,0.0,0.11330000000000001,apportionment,1.0,0.0,1
well_24045__stream_apportionment151,none,factor,0.6563,0.5563,0.7563,apportionment,1.0,0.0,1
well_24047__stream_apportionment152,none,factor,0.3794,0.2794,0.47940000000000005,apportionment,1.0,0.0,1
well_24049__stream_apportionment153,none,factor,0.4496,0.3496,0.5496,apportionment,1.0,0.0,1
well_24059__stream_apportionment154,none,factor,0.1678,0.0678,0.26780000000000004,apportionment,1.0,0.0,1
well_24063__stream_apportionment155,none,factor,0.2636,0.1636,0.36360000000000003,apportionment,1.0,0.0,1
well_24066__stream_apportionment156,none,relative,0.0174,0.0,0.1174,apportionment,1.0,0.0,1
well_24080__stream_apportionment157,none,relative,0.0252,0.0,0.1252,apportionment,1.0,0.0,1
well_24091__stream_apportionment158,none,factor,0.1841,0.08410000000000001,0.2841,apportionment,1.0,0.0,1
well_24093__stream_apportionment159,none,factor,0.3927,0.29269999999999996,0.4927,apportionment,1.0,0.0,1
well_24110__stream_apportionment160,none,factor,0.2756,0.1756,0.37560000000000004,apportionment,1.0,0.0,1
well_24120__stream_apportionment161,none,relative,0.0277,0.0,0.1277,apportionment,1.0,0.0,1
well_24121__stream_apportionment162,none,factor,0.3061,0.20609999999999998,0.4061,apportionment,1.0,0.0,1
well_24125__stream_apportionment163,none,factor,0.6212,0.5212,0.7212,apportionment,1.0,0.0,1
well_24130__stream_apportionment164,none,relative,0.05,0.0,0.15000000000000002,apportionment,1.0,0.0,1
well_24135__stream_apportionment165,none,relative,0.0047,0.0,0.1047,apportionment,1.0,0.0,1
well_24137__stream_apportionment166,none,factor,0.6799,0.5799,0.7798999999999999,apportionment,1.0,0.0,1
well_24165__stream_apportionment167,none,factor,0.1591,0.059099999999999986,0.2591,apportionment,1.0,0.0,1
well_24166__stream_apportionment168,none,factor,0.125,0.024999999999999994,0.225,apportionment,1.0,0.0,1
well_24169__stream_apportionment169,none,relative,0.0394,0.0,0.1394,apportionment,1.0,0.0,1
