species,AugQ50,SAIFR,Screen,POmodel,POmeasure,PO10R,PO20R,PO30R,PO40R,PO50R,delPO_10percRed,delPO_20percRed,delPO_30percRed,delPO_40percRed,delPO_50percRed
brook trout,5.5,0.07281163185301041,True,0.724,0.6683677887540558,0.6224707410060164,0.5611129317974851,0.48514814540627954,0.39754242029552017,0.30135798125169516,0.04589704774803938,0.10725485695657067,0.18321964334777624,0.2708253684585356,0.3670098075023606
brook trout,6.0,0.08396407981157167,True,0.724,0.6910221663971791,0.6498722980279943,0.5960146206927915,0.5199921871575619,0.4310219448421391,0.3283502155726842,0.04114986836918477,0.09500754570438752,0.17102997923961716,0.26000022155503993,0.3626719508244949
brook trout,6.5,0.10451493275275053,True,0.724,0.7067982766449694,0.6738104911594596,0.6217138492924079,0.5523102507275073,0.46242107307762387,0.35731406373811175,0.032987785485509846,0.0850844273525615,0.15448802591746214,0.24437720356734555,0.34948421290685766
brook trout,7.0,0.11692485619238834,True,0.724,0.7171514668581914,0.68855647218721,0.6456457461557866,0.5808801681121226,0.49215155518952036,0.38476938176246317,0.028594994670981477,0.0715057207024048,0.1362712987460688,0.22499991166867106,0.33238208509572825
brook trout,7.5,0.14000546201888936,True,0.724,0.7229788627401283,0.7024904075535822,0.6633445330650789,0.603402817483215,0.5200761483552374,0.4108310320783795,0.020488455186546184,0.05963432967504945,0.11957604525691334,0.20290271438489094,0.31214783066174884
brook trout,8.0,0.1617501309769907,True,0.724,0.7248304182040349,0.7079160498275872,0.6766170837720241,0.6247364279403327,0.5463545425890582,0.4360434196990491,0.016914368376447775,0.04821333443201081,0.10009399026370225,0.1784758756149767,0.28878699850498585
brook trout,8.5,0.20077044561266508,True,0.724,0.724075575539346,0.7132592957143256,0.6882344832156918,0.6411595894981974,0.5666201711821381,0.46029613947814557,0.010816279825020425,0.03584109232365418,0.08291598604114858,0.15745540435720784,0.2637794360612004
brook trout,9.0,0.22113797766735582,True,0.724,0.7207743399698646,0.7132297028312402,0.6931840134621644,0.6532161857742763,0.5857700337500353,0.48337224699013076,0.00754463713862441,0.027590326507700214,0.0675581541955883,0.13500430621982928,0.23740209297973386
brook trout,9.5,0.2533055040872044,True,0.724,0.7161973572834505,0.712532824385015,0.6980662711108416,0.6649012499853639,0.6040711420191718,0.5053553388081887,0.003664532898435491,0.018131086172608835,0.051296107298086535,0.11212621526427868,0.21084201847526174
brook trout,10.0,0.28639933533401674,True,0.724,0.7104274013935971,0.7092271062387833,0.6987999674250164,0.67114473604074,0.6166781076186845,0.5235328715845149,0.0012002951548137908,0.01162743396858068,0.03928266535285707,0.09374929377491259,0.18689452980908217
brook trout,10.5,0.31373482560333193,True,0.724,0.7041764184511323,0.7050081779946159,0.6981636185295486,0.6756016455387943,0.6273007191068687,0.5400985202404969,-0.0008317595434835789,0.006012799921583767,0.02857477291233801,0.07687569934426364,0.16407789821063545
brook trout,11.0,0.34040308322429036,True,0.724,0.6977785771994848,0.6998948856041957,0.6964387013254425,0.6800052225191662,0.6376431728591399,0.5560574686343984,-0.002116308404710887,0.0013398758740422734,0.017773354680318598,0.06013540434034492,0.14172110856508635
brook trout,11.5,0.36502005167306506,True,0.724,0.691256526294048,0.694161442032695,0.6926100598139939,0.6794290674765198,0.6444623658019463,0.5714424470911774,-0.0029049157386470403,-0.0013535335199459375,0.011827458817528225,0.04679416049210172,0.11981407920287057
brook trout,12.0,0.3923899442874411,True,0.724,0.6850003609304391,0.6883212972234711,0.6887402041698736,0.678852004237398,0.6484356406707616,0.5813785099395806,-0.003320936293031984,-0.003739843239434437,0.006148356693041146,0.0365647202596775,0.10362185099085852
brook trout,12.5,0.41233173347699703,True,0.724,0.6786782109946833,0.6823698690289334,0.6836515959678134,0.6775584192300943,0.6523679696872096,0.5905464159171632,-0.0036916580342500893,-0.004973384973130157,0.0011197917645889843,0.026310241307473725,0.08813179507752011
brook trout,13.0,0.4284954584261043,True,0.724,0.6726773846137146,0.6764528265998092,0.678411125036907,0.6740973789399375,0.6547965016112146,0.5995140562733475,-0.0037754419860945854,-0.005733740423192413,-0.001419994326222862,0.017880883002500014,0.0731633283403671
brook trout,13.5,0.44541934609806855,True,0.724,0.6666051752996677,0.6707094819743258,0.6730861800685286,0.670603546134672,0.6542842861430912,0.6080278526773959,-0.004104306674658109,-0.006481004768860932,-0.003998370835004317,0.012320889156576476,0.05857732262227178
brook trout,14.0,0.4616395016687158,True,0.724,0.6607495706505065,0.6649553784828007,0.6676757341237327,0.6665164885501919,0.6537713768565604,0.611494453725942,-0.004205807832294184,-0.006926163473226166,-0.005766917899685309,0.0069781937939461525,0.049255116924564524
brook trout,14.5,0.48118015571611983,True,0.724,0.6548258477772078,0.6594463345882464,0.6622318876320091,0.661817048360122,0.6529405245838475,0.614931273525743,-0.00462048681103866,-0.007406039854801372,-0.006991200582914248,0.001885323193360211,0.03989457425146481
brook trout,15.0,>50%,True,0.724,0.6489832444243432,0.653872542433634,0.6570376459844608,0.6570579507166521,0.6498747590963223,0.6183386942073021,-0.004889298009290832,-0.008054401560117608,-0.008074706292308886,-0.0008915146719791212,0.030644550217041044
brook trout,15.5,>50%,True,0.724,0.6444732381241984,0.6485113546506631,0.651770894085742,0.6522363366485034,0.6467841154026959,0.6209548157443839,-0.004038116526464686,-0.0072976559615435255,-0.007763098524305012,-0.0023108772784974363,0.023518422379814496
brook trout,16.0,>50%,True,0.724,0.6444732381241984,0.6430737617844774,0.646705614708875,0.6473521256739273,0.6436682894451667,0.6205100142866472,0.0013994763397210397,-0.0022323765846765653,-0.00287888754972887,0.0008049486790316918,0.02396322383755123
brook trout,16.5,>50%,True,0.724,0.6444732381241984,0.637732037581386,0.6416815544379966,0.6424046777448009,0.6396226705974041,0.6200647120745706,0.006741200542812464,0.0027916836862018624,0.0020685603793975105,0.004850567526794358,0.024408526049627843
brook trout,17.0,>50%,True,0.724,0.6444732381241984,0.6323315662309734,0.6366812352115613,0.6377430251808175,0.6354510111011406,0.6196189082620596,0.012141671893225015,0.007792002912637153,0.006730212943380942,0.009022227023057883,0.02485432986213887
brook trout,17.5,>50%,True,0.724,0.6444732381241984,0.6313544953113176,0.6318164565473198,0.6330245249392681,0.6312340205389332,0.618401917713065,0.013118742812880835,0.012656781576878662,0.011448713184930348,0.01323921758526525,0.02607132041113347
brook trout,18.0,>50%,True,0.724,0.6444732381241984,0.6313544953113176,0.626890211941298,0.6283363001650432,0.6269783685394714,0.6157415009683653,0.013118742812880835,0.01758302618290042,0.016136937959155273,0.017494869584727013,0.028731737155833104
brook trout,18.5,>50%,True,0.724,0.6444732381241984,0.6313544953113176,0.6220633940043616,0.6238588743498328,0.6226791322345065,0.613063177904044,0.013118742812880835,0.02240984411983682,0.02061436377436565,0.021794105889691884,0.03141006022015447
brook trout,19.0,0.4763637083152764,True,0.724,0.6444732381241984,0.6313544953113176,0.6171937979249227,0.6193299650354893,0.6183325221417998,0.6103667671280475,0.013118742812880835,0.02727944019927575,0.025143273088709117,0.026140715982398643,0.03410647099615094
brook trout,19.5,0.42691166953410875,True,0.724,0.6444732381241984,0.6313544953113176,0.6149735898407861,0.6148830193678858,0.6140969694247803,0.6072323146531751,0.013118742812880835,0.02949964828341234,0.029590218756312625,0.03037626869941812,0.03724092347102337
brook trout,20.0,0.26118761818361524,True,0.724,0.6444732381241984,0.6313544953113176,0.6149735898407861,0.6105216864922635,0.6099768116349641,0.6036497249897081,0.013118742812880835,0.02949964828341234,0.03395155163193497,0.034496426489234344,0.040823513134490286
brook trout,20.5,0.23074074463872785,True,0.724,0.6444732381241984,0.6313544953113176,0.6149735898407861,0.6061123418300081,0.605813860677838,0.6000350794453866,0.013118742812880835,0.02949964828341234,0.03836089629419037,0.03865937744636039,0.044438158678811845
brook trout,21.0,0.22064728924904428,True,0.724,0.6444732381241984,0.6313544953113176,0.6149735898407861,0.6017805087058197,0.6017009168991174,0.5963879458478931,0.013118742812880835,0.02949964828341234,0.04269272941837876,0.04277232122508101,0.048085292276305314
brook trout,21.5,0.21553985927685942,True,0.724,0.6444732381241984,0.6313544953113176,0.6149735898407861,0.5974443859125756,0.5977750146514907,0.5927227407624664,0.013118742812880835,0.02949964828341234,0.047028852211622785,0.04669822347270769,0.051750497361731984
brook trout,22.0,0.21257059255586974,True,0.724,0.6444732381241984,0.6313544953113176,0.6149735898407861,0.5933038585954944,0.5938108662352644,0.589032501105105,0.013118742812880835,0.02949964828341234,0.05116937952870404,0.05066237188893408,0.05544073701909347
brook trout,22.5,0.21257059255586974,True,0.724,0.6444732381241984,0.6313544953113176,0.6149735898407861,0.5933038585954944,0.5898282215961802,0.5853088510646804,0.013118742812880835,0.02949964828341234,0.05116937952870404,0.05464501652801823,0.05916438705951799
brook trout,23.0,0.21257059255586974,True,0.724,0.6444732381241984,0.6313544953113176,0.6149735898407861,0.5933038585954944,0.5860321483787636,0.5815513348456753,0.013118742812880835,0.02949964828341234,0.05116937952870404,0.05844108974543483,0.0629219032785231
brook trout,23.5,0.21257059255586974,True,0.724,0.6444732381241984,0.6313544953113176,0.6149735898407861,0.5933038585954944,0.5822008414554684,0.5779892655621613,0.013118742812880835,0.02949964828341234,0.05116937952870404,0.06227239666873008,0.06648397256203709
brook trout,24.0,0.21257059255586974,True,0.724,0.6444732381241984,0.6313544953113176,0.6149735898407861,0.5933038585954944,0.5783338080004248,0.5744544125894305,0.013118742812880835,0.02949964828341234,0.05116937952870404,0.06613943012377366,0.0700188255347679
brook trout,24.5,0.21257059255586974,True,0.724,0.6444732381241984,0.6313544953113176,0.6149735898407861,0.5933038585954944,0.5745670368454324,0.5708894535174536,0.013118742812880835,0.02949964828341234,0.05116937952870404,0.06990620127876601,0.07358378460674486
