,total_receipts,acres_irrigated,site_no
23962,71052.4022641866,39.586124350120556,7821
23851,47758.01631822415,30.82881076858954,7827
70119,61307.379327968636,34.15678378660883,7832
23715,61037.60819368807,34.042093218457445,7854
23754,66123.64595471698,36.84011782619407,7855
23722,51776.362627829905,28.846674624192218,7856
24286,42221.09783024992,25.840064406204583,7863
24293,24060.676032790252,26.177895528785452,7864
69970,61099.39191249362,34.04090571028931,7865
24239,59994.01989697893,33.42505891743057,7866
1302,64979.93767955099,36.20291237559379,7923
23909,72202.29814587496,40.226777162856635,8749
24265,63465.14401598979,35.3589604694,8818
68917,21404.87607649252,34.375867513811,8846
23727,28189.2745578258,35.64036981859123,8867
23870,92237.40503362619,51.38913349920586,8963
70881,35428.49058841563,25.795559605338152,8974
70961,13142.356431494134,21.10640126548,8981
71117,27760.724740620233,37.1380276628,8998
23635,62034.011261723484,34.561619389203024,9005
24252,67482.8600437016,37.597390152398035,9131
24012,60274.68298686948,36.13823192372318,9132
24165,64528.801159419556,35.951566244911234,9138
23631,35501.43772622216,20.77294603585423,9144
23726,71472.83509959053,42.66472785128059,9145
24253,89809.16606038323,50.0362648152,9155
71044,25157.726733841817,32.90574311672203,9163
69049,20355.358233512405,32.6903596793,9164
23977,25006.868686812417,38.06201191521419,9168
23795,55515.456534594705,30.929872822046477,9171
24005,65196.40292039816,36.323513786223,9177
1860,64566.44411179555,36.02518435016296,9187
23637,72086.62237055825,40.33650493182994,9188
24066,83978.37124828363,46.78769670016873,9189
1013,44649.167209611915,24.875830077034717,9246
23699,63751.82661697942,35.51868276914146,9328
68695,24242.05561730148,32.43078631881438,10104
69990,30080.89972296667,41.7903996166791,10142
69576,19555.479810704663,31.405768514589056,10185
23910,59474.89158082359,33.135831848082745,10374
23972,64639.58381862071,36.0132876784339,10375
23645,55881.2588819923,31.133675885,10379
23816,59429.91437092561,33.11077325235331,10380
23836,46839.40197804489,26.09609713537803,10404
23627,73527.80656615112,40.965270718037,10405
23791,39937.91440078402,22.25100341963794,10409
24030,109367.60666899079,60.9330513749,10411
23883,62348.774361899195,34.73698645389502,10417
23915,58244.747693877216,36.770317726186775,10420
24249,38578.30084479595,50.836429494803596,10425
1584,102789.96648608928,57.26838594610094,10427
24266,24436.087047184254,32.6903596793,10430
24063,56621.40740325233,36.658112120546356,10438
24110,60233.08558637887,33.558251938452514,10439
24130,21863.86791134793,35.113000606687855,10440
23846,52749.85170970057,29.435422471792428,10447
23756,66537.37832446497,37.07062461434765,10456
23908,49736.04730724522,31.90081861814083,10496
418,26249.065273019205,42.15555310678281,10513
850,55303.65239598937,43.617147372112605,10520
24137,29610.974707425416,16.618104920436608,11313
68926,25171.75124332511,35.81168936679101,11391
23758,65295.20811438631,36.37856209663916,11407
23869,94631.32547799035,52.72288196336809,11526
23818,64123.709728010894,35.72587366780052,11560
