site_no,HICAP_WELL_NO
5343,698.0
5344,442.0
5353,12927.0
5354,67432.0
5355,70222.0
5358,71166.0
5359,38631.0
5360,38632.0
5361,818.0
5362,1850.0
5369,48.0
5372,35368.0
5374,8103.0
5387,4480.0
5388,8113.0
5392,1847.0
5398,1199.0
5400,44404.0
5401,68928.0
5403,135.0
5404,141.0
5405,311.0
5406,2252.0
5413,69725.0
5414,68269.0
5415,67369.0
5416,24027.0
5418,69534.0
5420,36375.0
5421,36321.0
5422,36323.0
5423,24254.0
5424,36504.0
5425,1938.0
5426,36382.0
5427,36563.0
5428,36368.0
5429,36485.0
5432,1538.0
5433,36473.0
5434,700.0
5435,36541.0
5437,1547.0
5438,36545.0
5439,36602.0
5441,3285.0
5442,36613.0
5443,69388.0
5446,36357.0
5454,36580.0
5461,67325.0
5479,24267.0
5489,1392.0
5491,1927.0
5500,36402.0
5501,36470.0
5502,36512.0
5510,2245.0
5511,2701.0
5512,2251.0
5513,320.0
5524,122.0
5525,36344.0
5526,36724.0
5527,4469.0
5528,36570.0
5529,36733.0
5531,36664.0
5533,337.0
5535,36392.0
5536,56.0
5537,61.0
5539,213.0
5541,1241.0
5542,117.0
5543,3334.0
5544,23901.0
5545,23899.0
5547,36409.0
5548,1974.0
5549,120.0
5551,352.0
5552,356.0
5553,370.0
5554,5924.0
5556,2464.0
5557,2404.0
5558,2477.0
5559,2412.0
5560,2487.0
5561,8219.0
5563,71251.0
5564,15122.0
5565,15010.0
5566,17610.0
5567,15015.0
5569,15105.0
5570,15036.0
5571,15077.0
5572,17647.0
5573,70595.0
5574,15041.0
5575,68960.0
5576,15071.0
5577,15089.0
5578,15115.0
5579,974.0
5580,29718.0
5581,29733.0
5582,3025.0
5583,2363.0
5585,3275.0
5586,29748.0
5588,29770.0
5589,3407.0
5590,29768.0
5591,70158.0
5592,29782.0
5596,24271.0
5597,810.0
5598,36662.0
5600,70410.0
5601,8188.0
5602,2709.0
5605,8175.0
5606,3361.0
5608,949.0
5609,8218.0
5610,8195.0
5611,8170.0
5614,67921.0
5615,8213.0
5617,17619.0
5618,17638.0
5620,17648.0
5621,17649.0
5622,17650.0
5626,1036.0
5627,29261.0
5629,29243.0
5630,29257.0
5634,5702.0
5635,5753.0
5636,5747.0
5637,12966.0
5638,12965.0
5641,18938.0
5642,18919.0
5643,18926.0
5644,18929.0
5645,18910.0
5646,5914.0
5647,5913.0
5648,5911.0
5649,28414.0
5650,28416.0
5652,28437.0
5653,2269.0
5658,1026.0
5659,27901.0
5660,69390.0
5662,29721.0
5674,7311.0
5675,8118.0
5676,8178.0
5677,8615.0
5679,10535.0
5680,1401.0
5681,70269.0
5682,31938.0
5683,31905.0
5684,69966.0
5686,33516.0
5693,10816.0
5696,17301.0
5697,18610.0
5699,3131.0
5700,68094.0
5701,20705.0
5703,20711.0
5707,31908.0
5708,31939.0
5709,31925.0
5710,6532.0
5713,1397.0
5730,12410.0
5739,402.0
5777,54006.0
5930,28469.0
5939,12440.0
5940,410.0
5958,2731.0
5962,15066.0
5970,69046.0
5971,69044.0
5982,2259.0
5989,12952.0
5995,8225.0
5996,8214.0
6003,3362.0
6004,3295.0
6031,70256.0
6038,3445.0
6053,23964.0
6057,5004.0
6059,3916.0
6070,70488.0
6074,69623.0
6090,4263.0
6093,11310.0
6097,4300.0
6107,2459.0
6118,4498.0
6127,67499.0
6128,4590.0
6136,36440.0
6145,4659.0
6146,69398.0
6148,17609.0
6150,67681.0
6159,67756.0
6170,68626.0
6172,69431.0
6189,28472.0
6216,68494.0
6217,36477.0
6228,5001.0
6239,315.0
6240,35343.0
6242,68713.0
6243,68730.0
6246,28481.0
6247,1499.0
6248,29706.0
6249,28420.0
6250,1497.0
6253,69577.0
6256,68776.0
6257,68844.0
6261,14209.0
6281,23891.0
6282,259.0
6285,24091.0
6290,70804.0
6292,69948.0
6293,69949.0
6294,12909.0
6295,23701.0
6309,69592.0
6310,69598.0
6312,69633.0
6314,69646.0
6316,1352.0
6317,2265.0
6319,73.0
6320,68343.0
6321,69776.0
6323,35.0
6325,34.0
6334,70109.0
6336,15064.0
6337,70139.0
6338,70140.0
6340,70181.0
6345,70249.0
6349,70299.0
6359,23805.0
6361,70360.0
6362,8191.0
6370,70539.0
6373,12920.0
6378,36745.0
6390,28440.0
6391,70923.0
6393,71097.0
6397,71077.0
6407,23898.0
6409,8217.0
6410,28456.0
6412,689.0
6413,36720.0
6414,71313.0
6415,71327.0
6419,2004.0
6420,15074.0
6429,15005.0
6431,15038.0
6432,20701.0
6435,24232.0
6438,31001.0
6439,222.0
6440,232.0
6441,1970.0
6469,2552.0
6471,67676.0
6474,9.0
6475,16.0
6476,214.0
6477,22.0
6478,25.0
6480,28.0
6481,95.0
6482,303.0
6483,284.0
6484,36537.0
6486,36433.0
6487,1585.0
6488,90.0
6489,267.0
6491,2456.0
6492,2457.0
6493,2461.0
6494,70523.0
6495,2442.0
6496,375.0
6497,2489.0
