parcel_id,site_no,parcel_to_source_pct,source_to_parcel_pct
2706,10337,1,0.23183925811437403
2707,10337,1,0.2565687789799073
2708,10337,1,0.2534775888717156
2709,10337,1,0.2581143740340031
2712,10157,1,0.4561226188721498
2713,10157,0.9279523801814752,0.42579456127316906
2713,22726,0.07204761981852482,0.04063512467952856
2714,22726,0.7314682132192722,0.39536116802408566
2714,10157,0.26853178678072775,0.11808281985468123
2716,22726,1,0.5640037072963858
2739,6282,0.9977867820501858,0.2561633255284506
2739,13847,0.0022132179498141774,5.951883699518134e-4
2740,6282,1,0.24652061529570438
2741,6282,0.995819937402494,0.23822712168946503
2741,13847,0.004180062597506048,0.001047476331101315
2742,6282,0.9912907541828226,0.2501575973482246
2742,13847,0.008709245817177313,0.0023022062923427947
2743,13847,0.9944545469407146,0.2583160814803888
2743,6282,0.005545453059285468,0.0013751576629919822
2744,13847,1,0.2582285695296324
2745,13847,0.9797213277944009,0.25299203701402023
2745,6282,0.020278672205599063,0.004999110749504179
2746,13847,0.9883134825291578,0.22651844098256255
2746,6282,0.011686517470842175,0.0025570717256591822
2950,21967,1,0.9576690660106331
2951,13848,1,0.31732507042729496
2952,13848,0.9819868240377674,0.34779589413346845
2952,21967,0.018013175962232602,0.0201646244738994
2953,13848,0.9794872834898545,0.3348790354392365
2953,21967,0.02051271651014551,0.02216630951546753
2954,21996,1,0.9868670420983899
2955,8865,1,0.31398175986195526
2956,8865,0.9937164739005737,0.3380095845523788
2956,21996,0.006283526099426315,0.006468949468218647
2957,8865,0.9937130116011482,0.3480086555856659
2957,21996,0.006286988398851796,0.006664008433391526
3080,21086,1,0.25
3081,21086,1,0.24693251533742333
3082,21086,1,0.24539877300613494
3083,21086,1,0.25766871165644173
3159,23217,1,0.507537688442211
3160,23217,1,0.4924623115577889
3291,23213,0.9856146155449754,0.2500210586170092
3291,23214,0.0143853844550246,0.001908039122463695
3292,23213,1,0.4165202082181622
3293,23213,0.9938827982135017,0.3299327866614419
3293,23214,0.006117201786498331,0.0010617920156223346
3294,23214,0.9950706304567303,0.26070818979622434
3294,23213,0.004929369543269758,0.002469993417800886
3295,23214,1,0.26691217711148474
3296,23214,0.9996934203841559,0.2799263152433636
3296,23213,3.065796158441267e-4,1.6418134983450837e-4
3297,23214,0.9975452273359384,0.18948348671084125
3297,23213,0.002454772664061595,8.917717357513521e-4
3367,23215,1,0.3156903334463407
3368,23215,0.9807492716663282,0.3216759112723105
3368,23216,0.019250728333671772,0.005364372740211382
3369,23215,0.5834707697122359,0.22964706308153615
3369,23216,0.4165292302877642,0.1392831279769495
3370,23216,0.5009727418347248,0.11342512005579998
3370,23215,0.49902725816527516,0.13298669219981266
4360,5217,1,0.43689469886290133
4361,5216,0.33202997447038685,0.14711004856630022
4361,5217,0.3315068388780758,0.1524564005711887
4361,7761,0.18148595315129762,0.10787518537346291
4361,10336,0.15497723350023976,0.12153596309513405
4362,5217,0.3293722499969926,0.053016154201769805
4362,7761,0.27639110477668716,0.057500370695228405
4362,5216,0.2280444123879394,0.03536327893983356
4362,5215,0.1661922328383809,0.03836840754498263
4364,5217,0.3307384442439273,0.1292875705792472
4364,7761,0.3070845854344705,0.15515132220035244
4364,5216,0.18314075660447127,0.06897138969244565
